"LETO";"STAROSTNE SKUPINE";"DRUŽINSKA SKUPNOST, V KATERI JE ROJEN OTROK";"VRSTNI RED ROJSTVA";Živorojeni, rojeni v zakonski zvezi ali zunaj zakonske zveze
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";552
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";199
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";48
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Peto rojstvo";12
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";9
"2009";"40-44";"Rojeni v zakonski zvezi";"Prvo rojstvo";45
"2009";"40-44";"Rojeni v zakonski zvezi";"Drugo rojstvo";79
"2009";"40-44";"Rojeni v zakonski zvezi";"Tretje rojstvo";57
"2009";"40-44";"Rojeni v zakonski zvezi";"Èetrto rojstvo";36
"2009";"40-44";"Rojeni v zakonski zvezi";"Peto rojstvo";20
"2009";"40-44";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";15
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";62
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";48
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";43
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";22
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Peto rojstvo";4
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";4
"2009";"45-49";"Rojeni v zakonski zvezi";"Prvo rojstvo";4
"2009";"45-49";"Rojeni v zakonski zvezi";"Drugo rojstvo";1
"2009";"45-49";"Rojeni v zakonski zvezi";"Tretje rojstvo";2
"2009";"45-49";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2009";"45-49";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2009";"45-49";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";0
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";3
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";2
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2009";"50+";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2009";"50+";"Rojeni v zakonski zvezi";"Drugo rojstvo";0
"2009";"50+";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2009";"50+";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2009";"50+";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2009";"50+";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2009";"50+";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";0
"2009";"50+";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";0
"2009";"50+";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2009";"50+";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2009";"50+";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2009";"50+";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2010";"Pod 15";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2010";"Pod 15";"Rojeni v zakonski zvezi";"Drugo rojstvo";0
"2010";"Pod 15";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2010";"Pod 15";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2010";"Pod 15";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2010";"Pod 15";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2010";"Pod 15";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1
"2010";"Pod 15";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";0
"2010";"Pod 15";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2010";"Pod 15";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2010";"Pod 15";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2010";"Pod 15";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2010";"15-19";"Rojeni v zakonski zvezi";"Prvo rojstvo";55
"2010";"15-19";"Rojeni v zakonski zvezi";"Drugo rojstvo";6
"2010";"15-19";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2010";"15-19";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2010";"15-19";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2010";"15-19";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2010";"15-19";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";163
"2010";"15-19";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";22
"2010";"15-19";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";3
"2010";"15-19";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";1
"2010";"15-19";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2010";"15-19";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2010";"20-24";"Rojeni v zakonski zvezi";"Prvo rojstvo";566
"2010";"20-24";"Rojeni v zakonski zvezi";"Drugo rojstvo";212
"2010";"20-24";"Rojeni v zakonski zvezi";"Tretje rojstvo";27
"2010";"20-24";"Rojeni v zakonski zvezi";"Èetrto rojstvo";3
"2010";"20-24";"Rojeni v zakonski zvezi";"Peto rojstvo";3
"2010";"20-24";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2010";"20-24";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1452
"2010";"20-24";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";304
"2010";"20-24";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";41
"2010";"20-24";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";14
"2010";"20-24";"Rojeni zunaj zakonske zveze";"Peto rojstvo";4
"2010";"20-24";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2010";"25-29";"Rojeni v zakonski zvezi";"Prvo rojstvo";1614
"2010";"25-29";"Rojeni v zakonski zvezi";"Drugo rojstvo";1276
"2010";"25-29";"Rojeni v zakonski zvezi";"Tretje rojstvo";279
"2010";"25-29";"Rojeni v zakonski zvezi";"Èetrto rojstvo";51
"2010";"25-29";"Rojeni v zakonski zvezi";"Peto rojstvo";6
"2010";"25-29";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";5
"2010";"25-29";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";3128
"2010";"25-29";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1290
"2010";"25-29";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";139
"2010";"25-29";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";34
"2010";"25-29";"Rojeni zunaj zakonske zveze";"Peto rojstvo";8
"2010";"25-29";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";3
"2010";"30-34";"Rojeni v zakonski zvezi";"Prvo rojstvo";1069
"2010";"30-34";"Rojeni v zakonski zvezi";"Drugo rojstvo";1925
"2010";"30-34";"Rojeni v zakonski zvezi";"Tretje rojstvo";735
"2010";"30-34";"Rojeni v zakonski zvezi";"Èetrto rojstvo";176
