"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"LETO";"VRSTNI RED ROJSTVA";Živorojeni
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2010";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2010";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2010";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2011";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2011";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2011";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2012";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2012";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2012";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2013";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2013";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2013";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2014";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2014";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2014";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2015";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2015";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2015";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2016";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2016";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2016";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2017";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2017";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2017";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2018";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2018";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 3. stopnje ipd.";"2018";"Tretje rojstvo ali veè";0
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Prvo rojstvo";66
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Drugo rojstvo";25
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Tretje rojstvo ali veè";15
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Prvo rojstvo";76
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Drugo rojstvo";33
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Tretje rojstvo ali veè";8
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Prvo rojstvo";76
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Drugo rojstvo";29
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Tretje rojstvo ali veè";4
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Prvo rojstvo";103
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Drugo rojstvo";40
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Tretje rojstvo ali veè";4
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Prvo rojstvo";63
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Drugo rojstvo";32
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Tretje rojstvo ali veè";9
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Prvo rojstvo";81
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Drugo rojstvo";33
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Tretje rojstvo ali veè";4
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Prvo rojstvo";80
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Drugo rojstvo";31
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Tretje rojstvo ali veè";5
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Prvo rojstvo";62
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Drugo rojstvo";33
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Tretje rojstvo ali veè";14
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Prvo rojstvo";92
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Drugo rojstvo";33
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Tretje rojstvo ali veè";12
"20-24 let";"Osnovnošolska";"2010";"Prvo rojstvo";275
"20-24 let";"Osnovnošolska";"2010";"Drugo rojstvo";124
"20-24 let";"Osnovnošolska";"2010";"Tretje rojstvo ali veè";40
"20-24 let";"Osnovnošolska";"2011";"Prvo rojstvo";226
"20-24 let";"Osnovnošolska";"2011";"Drugo rojstvo";99
"20-24 let";"Osnovnošolska";"2011";"Tretje rojstvo ali veè";45
"20-24 let";"Osnovnošolska";"2012";"Prvo rojstvo";200
"20-24 let";"Osnovnošolska";"2012";"Drugo rojstvo";103
"20-24 let";"Osnovnošolska";"2012";"Tretje rojstvo ali veè";43
"20-24 let";"Osnovnošolska";"2013";"Prvo rojstvo";195
"20-24 let";"Osnovnošolska";"2013";"Drugo rojstvo";109
"20-24 let";"Osnovnošolska";"2013";"Tretje rojstvo ali veè";41
"20-24 let";"Osnovnošolska";"2014";"Prvo rojstvo";202
"20-24 let";"Osnovnošolska";"2014";"Drugo rojstvo";108
"20-24 let";"Osnovnošolska";"2014";"Tretje rojstvo ali veè";38
"20-24 let";"Osnovnošolska";"2015";"Prvo rojstvo";206
"20-24 let";"Osnovnošolska";"2015";"Drugo rojstvo";110
"20-24 let";"Osnovnošolska";"2015";"Tretje rojstvo ali veè";39
"20-24 let";"Osnovnošolska";"2016";"Prvo rojstvo";169
"20-24 let";"Osnovnošolska";"2016";"Drugo rojstvo";96
"20-24 let";"Osnovnošolska";"2016";"Tretje rojstvo ali veè";41
"20-24 let";"Osnovnošolska";"2017";"Prvo rojstvo";167
"20-24 let";"Osnovnošolska";"2017";"Drugo rojstvo";106
"20-24 let";"Osnovnošolska";"2017";"Tretje rojstvo ali veè";44
"20-24 let";"Osnovnošolska";"2018";"Prvo rojstvo";127
"20-24 let";"Osnovnošolska";"2018";"Drugo rojstvo";85
"20-24 let";"Osnovnošolska";"2018";"Tretje rojstvo ali veè";37
"20-24 let";"Nižja poklicna, srednja poklicna";"2010";"Prvo rojstvo";290
"20-24 let";"Nižja poklicna, srednja poklicna";"2010";"Drugo rojstvo";117
"20-24 let";"Nižja poklicna, srednja poklicna";"2010";"Tretje rojstvo ali veè";20
"20-24 let";"Nižja poklicna, srednja poklicna";"2011";"Prvo rojstvo";302
"20-24 let";"Nižja poklicna, srednja poklicna";"2011";"Drugo rojstvo";101
"20-24 let";"Nižja poklicna, srednja poklicna";"2011";"Tretje rojstvo ali veè";12
"20-24 let";"Nižja poklicna, srednja poklicna";"2012";"Prvo rojstvo";306
"20-24 let";"Nižja poklicna, srednja poklicna";"2012";"Drugo rojstvo";100
"20-24 let";"Nižja poklicna, srednja poklicna";"2012";"Tretje rojstvo ali veè";20
"20-24 let";"Nižja poklicna, srednja poklicna";"2013";"Prvo rojstvo";262
"20-24 let";"Nižja poklicna, srednja poklicna";"2013";"Drugo rojstvo";102
"20-24 let";"Nižja poklicna, srednja poklicna";"2013";"Tretje rojstvo ali veè";17
"20-24 let";"Nižja poklicna, srednja poklicna";"2014";"Prvo rojstvo";227
"20-24 let";"Nižja poklicna, srednja poklicna";"2014";"Drugo rojstvo";99
"20-24 let";"Nižja poklicna, srednja poklicna";"2014";"Tretje rojstvo ali veè";19
"20-24 let";"Nižja poklicna, srednja poklicna";"2015";"Prvo rojstvo";202
"20-24 let";"Nižja poklicna, srednja poklicna";"2015";"Drugo rojstvo";92
"20-24 let";"Nižja poklicna, srednja poklicna";"2015";"Tretje rojstvo ali veè";14
"20-24 let";"Nižja poklicna, srednja poklicna";"2016";"Prvo rojstvo";217
"20-24 let";"Nižja poklicna, srednja poklicna";"2016";"Drugo rojstvo";82
"20-24 let";"Nižja poklicna, srednja poklicna";"2016";"Tretje rojstvo ali veè";7
"20-24 let";"Nižja poklicna, srednja poklicna";"2017";"Prvo rojstvo";229
"20-24 let";"Nižja poklicna, srednja poklicna";"2017";"Drugo rojstvo";99
"20-24 let";"Nižja poklicna, srednja poklicna";"2017";"Tretje rojstvo ali veè";10
"20-24 let";"Nižja poklicna, srednja poklicna";"2018";"Prvo rojstvo";249
"20-24 let";"Nižja poklicna, srednja poklicna";"2018";"Drugo rojstvo";114
"20-24 let";"Nižja poklicna, srednja poklicna";"2018";"Tretje rojstvo ali veè";11
"20-24 let";"Srednja strokovna, srednja splošna";"2010";"Prvo rojstvo";1201
"20-24 let";"Srednja strokovna, srednja splošna";"2010";"Drugo rojstvo";224
"20-24 let";"Srednja strokovna, srednja splošna";"2010";"Tretje rojstvo ali veè";17
"20-24 let";"Srednja strokovna, srednja splošna";"2011";"Prvo rojstvo";1099
"20-24 let";"Srednja strokovna, srednja splošna";"2011";"Drugo rojstvo";238
"20-24 let";"Srednja strokovna, srednja splošna";"2011";"Tretje rojstvo ali veè";21
"20-24 let";"Srednja strokovna, srednja splošna";"2012";"Prvo rojstvo";1161
"20-24 let";"Srednja strokovna, srednja splošna";"2012";"Drugo rojstvo";247
"20-24 let";"Srednja strokovna, srednja splošna";"2012";"Tretje rojstvo ali veè";25
"20-24 let";"Srednja strokovna, srednja splošna";"2013";"Prvo rojstvo";1043
"20-24 let";"Srednja strokovna, srednja splošna";"2013";"Drugo rojstvo";223
"20-24 let";"Srednja strokovna, srednja splošna";"2013";"Tretje rojstvo ali veè";14
"20-24 let";"Srednja strokovna, srednja splošna";"2014";"Prvo rojstvo";932
"20-24 let";"Srednja strokovna, srednja splošna";"2014";"Drugo rojstvo";230
"20-24 let";"Srednja strokovna, srednja splošna";"2014";"Tretje rojstvo ali veè";17
"20-24 let";"Srednja strokovna, srednja splošna";"2015";"Prvo rojstvo";820
"20-24 let";"Srednja strokovna, srednja splošna";"2015";"Drugo rojstvo";204
"20-24 let";"Srednja strokovna, srednja splošna";"2015";"Tretje rojstvo ali veè";14
"20-24 let";"Srednja strokovna, srednja splošna";"2016";"Prvo rojstvo";795
"20-24 let";"Srednja strokovna, srednja splošna";"2016";"Drugo rojstvo";197
"20-24 let";"Srednja strokovna, srednja splošna";"2016";"Tretje rojstvo ali veè";5
"20-24 let";"Srednja strokovna, srednja splošna";"2017";"Prvo rojstvo";847
"20-24 let";"Srednja strokovna, srednja splošna";"2017";"Drugo rojstvo";188
"20-24 let";"Srednja strokovna, srednja splošna";"2017";"Tretje rojstvo ali veè";12
"20-24 let";"Srednja strokovna, srednja splošna";"2018";"Prvo rojstvo";794
"20-24 let";"Srednja strokovna, srednja splošna";"2018";"Drugo rojstvo";221
"20-24 let";"Srednja strokovna, srednja splošna";"2018";"Tretje rojstvo ali veè";19
"20-24 let";"Visokošolska 1. stopnje ipd.";"2010";"Prvo rojstvo";142
"20-24 let";"Visokošolska 1. stopnje ipd.";"2010";"Drugo rojstvo";20
"20-24 let";"Visokošolska 1. stopnje ipd.";"2010";"Tretje rojstvo ali veè";0
"20-24 let";"Visokošolska 1. stopnje ipd.";"2011";"Prvo rojstvo";150
"20-24 let";"Visokošolska 1. stopnje ipd.";"2011";"Drugo rojstvo";30
"20-24 let";"Visokošolska 1. stopnje ipd.";"2011";"Tretje rojstvo ali veè";1
"20-24 let";"Visokošolska 1. stopnje ipd.";"2012";"Prvo rojstvo";165
"20-24 let";"Visokošolska 1. stopnje ipd.";"2012";"Drugo rojstvo";23
"20-24 let";"Visokošolska 1. stopnje ipd.";"2012";"Tretje rojstvo ali veè";2
"20-24 let";"Visokošolska 1. stopnje ipd.";"2013";"Prvo rojstvo";217
"20-24 let";"Visokošolska 1. stopnje ipd.";"2013";"Drugo rojstvo";26
"20-24 let";"Visokošolska 1. stopnje ipd.";"2013";"Tretje rojstvo ali veè";4
"20-24 let";"Visokošolska 1. stopnje ipd.";"2014";"Prvo rojstvo";222
"20-24 let";"Visokošolska 1. stopnje ipd.";"2014";"Drugo rojstvo";29
"20-24 let";"Visokošolska 1. stopnje ipd.";"2014";"Tretje rojstvo ali veè";2
"20-24 let";"Visokošolska 1. stopnje ipd.";"2015";"Prvo rojstvo";264
"20-24 let";"Visokošolska 1. stopnje ipd.";"2015";"Drugo rojstvo";35
"20-24 let";"Visokošolska 1. stopnje ipd.";"2015";"Tretje rojstvo ali veè";3
"20-24 let";"Visokošolska 1. stopnje ipd.";"2016";"Prvo rojstvo";241
